year,category,total_number
2005,VEHICLE THEFT,18194
2008,WARRANTS,5798
2008,WEAPON LAWS,1419
2006,ARSON,240
2009,ARSON,222
2009,BAD CHECKS,64
2013,BAD CHECKS,26
2005,BRIBERY,38
2013,BURGLARY,6196
2009,DISORDERLY CONDUCT,956
2013,DISORDERLY CONDUCT,464
2011,DRIVING UNDER THE INFLUENCE,470
2006,DRUG/NARCOTIC,9069
2008,DRUG/NARCOTIC,11648
2011,DRUG/NARCOTIC,6935
2014,DRUNKENNESS,620
2015,DRUNKENNESS,507
2007,EMBEZZLEMENT,269
2010,EMBEZZLEMENT,155
2004,EXTORTION,57
2010,FORGERY/COUNTERFEITING,1089
2004,FRAUD,2745
2012,GAMBLING,18
2004,KIDNAPPING,277
2010,KIDNAPPING,355
2013,KIDNAPPING,528
2015,KIDNAPPING,298
2009,LARCENY/THEFT,25585
2013,LARCENY/THEFT,36412
2006,LIQUOR LAWS,248
2008,LIQUOR LAWS,499
2011,LIQUOR LAWS,261
2014,LIQUOR LAWS,180
2006,LOITERING,96
2005,MISSING PERSON,3703
2008,NON-CRIMINAL,12303
2011,NON-CRIMINAL,15586
2012,NON-CRIMINAL,16936
2014,NON-CRIMINAL,19405
2004,PORNOGRAPHY/OBSCENE MAT,3
2012,PORNOGRAPHY/OBSCENE MAT,2
2006,PROSTITUTION,1290
2008,PROSTITUTION,1673
2012,PROSTITUTION,690
2003,ROBBERY,3204
2012,ROBBERY,3955
2015,ROBBERY,3275
2013,RUNAWAY,214
2003,SEX OFFENSES FORCIBLE,698
2005,SEX OFFENSES FORCIBLE,638
2010,SEX OFFENSES FORCIBLE,733
2011,SEX OFFENSES FORCIBLE,735
2015,SEX OFFENSES NON FORCIBLE,15
2003,STOLEN PROPERTY,800
2005,STOLEN PROPERTY,540
2006,STOLEN PROPERTY,575
2009,STOLEN PROPERTY,660
2012,STOLEN PROPERTY,932
2014,STOLEN PROPERTY,1086
2015,STOLEN PROPERTY,826
2003,SUICIDE,93
2008,SUICIDE,100
2009,SUICIDE,83
2012,SUICIDE,86
2004,SUSPICIOUS OCC,4489
2005,SUSPICIOUS OCC,4693
2010,SUSPICIOUS OCC,6004
2012,TREA,2
2014,TREA,1
2005,TRESPASS,1034
2006,TRESPASS,1102
2007,TRESPASS,1198
2003,VANDALISM,6448
2005,VANDALISM,7013
2012,VANDALISM,7808
2006,VEHICLE THEFT,7291
2011,VEHICLE THEFT,4762
2004,WARRANTS,8114
2007,WARRANTS,7105
2015,WARRANTS,5743
2014,WEAPON LAWS,1581
